"状态","现代词条","候选整理文本","基础原文","传统分类","匹配分数","备选1","备选2"
"missing","梦见狼","狼啖脚者，主有所失","狼啖脚者主不行","龙蛇禽兽等类","0.619","渡天河主有所吉","赠彩帛者主有权"
"missing","梦见熊","熊罴入梦，主身生贵子，宜祷以待","熊罢主身生贵子","龙蛇禽兽等类","0.452","星入怀主生贵子","带印主妻生贵子"
"approx","梦见象","白象江猪官位至，骑象远行，主有大喜","白象江猪官位至","龙蛇禽兽等类","0.925","鸡抱卵主有大喜","日光入屋官位至"
"approx","梦见狮子","狮子叫吼声名震","狮子叫吼场名震","龙蛇禽兽等类","0.777","灶下燃火有声名","麒麟者名震天下"
"missing","梦见狮子","见狮子者，主威名远播","狮子叫吼场名震","龙蛇禽兽等类","0.253","见笋者主添子孙","见读书者主聪明"
"missing","梦见猴","山猴主有争讼端","山猴有争讼事端","龙蛇禽兽等类","0.680","食大肉主有争讼","食葱韭主有争斗"
"approx","梦见猴","白猴主有禄位得","白猿主有禄位得","龙蛇禽兽等类","0.747","种田宽大有禄位","被马咬有禄位至"
"approx","梦见鹿","獐鹿在家得官禄","獐鹿在家益官禄","龙蛇禽兽等类","0.747","患厕中得官禄位","担水来家得财喜"
"missing","梦见鹿","鹿入门，禄位至","将棺入宅禄位至","冢墓馆郭迎送","0.451","眉与发齐禄位至","新换衣冠禄位至"
"approx","梦见兔","群兔上天得贵位","群免上天得贵位","龙蛇禽兽等类","0.747","乘龙上天主大贵","上天求妻儿女贵"
"approx","梦见兔","活兔在园，百忧去","浩鬼在园百忧去","龙蛇禽兽等类","0.687","天晴雨散百忧去","梳头洗面百忧去"
"approx","梦见骆驼","骆驼豹豸得重印，远行将至，福禄相随","骆驼豹豸得重印","龙蛇禽兽等类","0.925","山行得财有福禄","教人耕种远行至"
"missing","梦见豹","杀虎豹主得重印","骆驼豹豸得重印","龙蛇禽兽等类","0.433","猛虎大吼主得官","日月照身得重位"
"missing","梦见豹","与豹同行，宜守正以待势","与贼同行大吉利","水火盗贼灯烛","0.203","合伴同行凶事至","与人同船主移居"
"exact","梦见麒麟","麒麟者名震天下","麒麟者名震天下","龙蛇禽兽等类","1.000","佩印信者名准出","狮子叫吼场名震"
"missing","梦见麒麟","见麒麟，主非常之喜","麒麟者名震天下","龙蛇禽兽等类","0.224","见笋者主添子孙","剪刀主分财之事"
"missing","梦见牛","牛耕田园，主事成丰收","霜雪降主事不成","天地日月星辰","0.223","雪落身上万事成","熨斗盛火好事成"
"missing","梦见牛","乘牛入市，主有财至","夫妇入市主置产","道路桥梁集市","0.336","架厕屋主有财喜","群鱼游水主有财"
"missing","梦见黄牛","黄牛来家，主富贵临门，宜接纳新机","黄牛来家大富贵","牛马猪羊六畜","0.454","运石入家主富贵","水牛来家主丧事"
"exact","梦见水牛","水牛主先祖索食","水牛主先祖索食","牛马猪羊六畜","1.000","水牛来家主丧事","先祖考言求食吉"
"approx","梦见水牛","水牛来家，主丧事，宜慎言斋戒","水牛来家主丧事","牛马猪羊六畜","0.943","雪落家庭主丧事","锅铁破主丧事来"
"exact","梦见骑牛","骑牛入城有喜临","骑牛入城有喜临","牛马猪羊六畜","1.000","连城青色有喜吉","居住高山有喜事"
"approx","梦见骑牛","牵牛上山，主富贵昌盛","牵牛上山主富贵","牛马猪羊六畜","1.000","身被霹雳主富贵","运石入家主富贵"
"exact","梦见牛角有血","牛角有血主三公","牛角有血主三公","牛马猪羊六畜","1.000","松生屋上位三公","头生两角有争竞"
"missing","梦见牛角有血","牛触人凡事不成，宜避锋芒","牛触人心事不成","牛马猪羊六畜","0.549","见浮云作事不成","霜雪降主事不成"
"missing","梦见马","骑马奔驰，主喜事临门","居田宅主妻喜事","宫室屋宇仓库","0.223","抱妇人主有喜事","子死者主添喜事"
"missing","梦见马","见白马至，主有远客","燕子至有远客来","龙蛇禽兽等类","0.388","行车白马主大吉","乘白马者主疾病"
"exact","梦见马奔","马行千里大喜至","马行千里大喜至","牛马猪羊六畜","1.000","太子召大喜吉利","修理田舍有大喜"
"approx","梦见马奔","群马奔远，百凶解","群马奔统百凶解","牛马猪羊六畜","0.777","新衣攒来百事凶","仓库崩坏百事凶"
"exact","梦见骑驴骡","骑驴骡，主得财吉","骑驴骡主得财吉","牛马猪羊六畜","1.000","放鹤者主得财吉","骑羊上街主得财"
"missing","梦见骑驴骡","与驴同行，宜耐心，徐图渐进","与贼同行大吉利","水火盗贼灯烛","0.187","合伴同行凶事至","与人同船主移居"
"exact","梦见羊","子母羊益命大吉","子母羊益命大吉","牛马猪羊六畜","1.000","头白主长命大吉","绳索主长命大吉"
"missing","梦见羊","牵羊入门，主和合之象","车入门主有凶事","船车游行物价","0.306","龙蛇入门主得财","着麻鞋百事和合"
"approx","梦见杀猪","杀猪豖者大吉利","杀猪者大吉利","杀害斗伤打骂","0.812","冢墓高者大吉利","道施盖者大吉利"
"missing","梦见杀猪","杀羊打羊主病凶，宜识吉凶之别","女人相打主病至","杀害斗伤打骂","0.161","地高下不平主病","迁移尼寺主病至"
"exact","梦见猪自死","猪豚变人官事至","猪豚变人官事至","牛马猪羊六畜","1.000","与人衣服官事至","醉落井中官事至"
"missing","梦见猪自死","猪自死，主家事不顺，宜内省","杀猪吉猪自死凶","牛马猪羊六畜","0.290","霜雪降主事不成","食自死肉主别离"
"missing","梦见狗","犬吠主有客至","铜裆主有口舌至","金银珠玉绢帛","0.285","犬吠人鬼来求食","渡天河主有所吉"
"missing","梦见狗","群犬相斗，防口舌是非","与恶人言有口舌","帝王文武呼召","0.176","城门大开主口舌","宫城塞者口舌至"
"missing","梦见狗","犬咬人，主有小病","抱妇人主有喜事","夫妻产孕交欢","0.373","蛇咬人主得大财","女人拔刀主有子"
"exact","梦见狗吠","犬吠人鬼来求食","犬吠人鬼来求食","牛马猪羊六畜","1.000","先祖考言求食吉","钟磐有声远人来"
"missing","梦见狗吠","犬吠主人失财凶，宜慎家事","犬咬主人失财凶","牛马猪羊六畜","0.519","水蛭主女人失财","犬吠人鬼来求食"
"missing","梦见鸟","百鸟飞集，主喜事重重","庭前竹木喜重重","地理山石树木","0.223","居田宅主妻喜事","抱妇人主有喜事"
"missing","梦见鸟","飞鸟入怀，主得贵子","星入怀主生贵子","天地日月星辰","0.530","日入怀贵子月女","蛇入怀中生贵子"
"approx","梦见鸟入怀","飞鸟入怀皆主吉","飞鸟人怀皆主吉","龙蛇禽兽等类","0.747","老君真人皆主吉","星入怀主生贵子"
"missing","梦见鸟入怀","鸟入怀中，主得贵子","蛇入怀中生贵子","龙蛇禽兽等类","0.530","鹤入怀中生贵子","星入怀主生贵子"
"exact","梦见捉鸟","捉住飞鸟远信至","捉住飞鸟远信至","龙蛇禽兽等类","1.000","风如吼主远信至","穿并见水远信至"
"missing","梦见捉鸟","得鸟在手，主求事可成","龙眠水中求事通","龙蛇禽兽等类","0.176","霜雪降主事不成","手帕者主口舌事"
"exact","梦见鹰","驾鹞者主禄位至","驾鹞者主禄位至","龙蛇禽兽等类","1.000","见种田者禄位至","眉与发齐禄位至"
"missing","梦见鹰","鹰盘高空，主威名远播","空野无人主远行","冢墓馆郭迎送","0.140","风如吼主远信至","地高下不平主病"
"approx","梦见雀","雀鼠争斗有官事","雀相争斗有官事","龙蛇禽兽等类","0.747","见流桥主有官事","见桥坏主有官事"
"approx","梦见雀","鸦雀相噪，主酒食至，宜调心以待","鸦雀相噪主酒食","龙蛇禽兽等类","0.906","瓷碗者主酒食至","乘船看花酒食至"
"missing","梦见鸽（鸠）","鸠鸣者妇人口舌","见妇人阴主口舌","夫妻产孕交欢","0.433","鹦鹉妇人主口舌","鸠鸽者妇人有喜"
"missing","梦见鸽（鸠）","鸽群飞，宜避家中是非","家中生松事转丰","地理山石树木","0.176","家中生柏大吉利","家中分财主离散"
"approx","梦见鸳鸯","鸳鸯散去主妻凶","鸳鸯散去夫妻凶","龙蛇禽兽等类","0.777","带印主妻生贵子","居田宅主妻喜事"
"missing","梦见鸳鸯","鸳鸯戏水，主夫妻情笃","鸳鸯散去夫妻凶","龙蛇禽兽等类","0.382","镜破主夫妇离别","银钗夫妻主相殴"
"exact","梦见鹅鸭","鹅鸭同游添好妾","鹅鸭同游添好妾","龙蛇禽兽等类","1.000","杀鸡鹅鸭主大吉","着新袍主添妻妾"
"missing","梦见鹅鸭","鹅鸣院落，主家室和合","流星不落主移居","天地日月星辰","0.176","着麻鞋百事和合","新造桥者大和合"
"exact","梦见孔雀","孔雀者主大吉利","孔雀者主大吉利","龙蛇禽兽等类","1.000","面对官者主大吉","造旌盖主大吉利"
"approx","梦见孔雀","孔雀飞舞，主有文章名声","孔雀飞舞有文章","龙蛇禽兽等类","0.711","孔雀者主大吉利","文书用印有名声"
"exact","梦见鹦鹉","鹦鹉妇人主口舌","鹦鹉妇人主口舌","龙蛇禽兽等类","1.000","见妇人阴主口舌","城门大开主口舌"
"missing","梦见鹦鹉","学舌之鸟，戒言多必失","箱器生口舌之事","金银珠玉绢帛","0.176","鹦鹉妇人主口舌","升山落地主失位"
"exact","梦见鸦","鸦雀相噪主酒食","鸦雀相噪主酒食","龙蛇禽兽等类","1.000","瓷碗者主酒食至","刀伤出血主酒食"
"missing","梦见鸦","乌鸦盘屋，宜静观其变","癸天上屋得高官","天地日月星辰","0.047","日光入屋官位至","盘石安稳无忧疑"
"missing","梦见鹊","鹊噪枝头，主有喜信","抱妇人主有喜事","夫妻产孕交欢","0.336","自疾病者主有喜","死人复活主有信"
"missing","梦见鹊","鹊登庭木，主远客将至","风如吼主远信至","天地日月星辰","0.223","乘船饮酒远客至","空野无人主远行"
"approx","梦见凤凰","凤凰入怀，主生贵子","星入怀主生贵子","天地日月星辰","0.761","蛇入怀中生贵子","鹤入怀中生贵子"
"missing","梦见凤凰","凤鸣于野，主名显远闻","空野无人主远行","冢墓馆郭迎送","0.140","凤凰主有贵人助","风如吼主远信至"
"missing","梦见鸡","鸡鸣于晓，主官事顺遂","众人着白主官事","冠带衣服鞋袜","0.306","身被罗网主官事","车行主百事顺利"
"missing","梦见鸡","群鸡相逐，主和合之象","着麻鞋百事和合","冠带衣服鞋袜","0.176","新造桥者大和合","剪刀主分财之事"
"missing","梦见燕子","燕入家室，主添丁进口","棋子主添丁进口","文书笔墨兵器","0.565","运石入家主富贵","马入室主奸情事"
"missing","梦见燕子","乳燕绕梁，主家庭和睦","雪落家庭主丧事","天地日月星辰","0.176","强贼入宅主家破","厕中干者主家破"
"missing","梦见鹤","鹤立庭中，主长寿延年","头白主长命大吉","身体面目齿发","0.176","头须再生主长命","坐官府中主大吉"
"missing","梦见鹤","白鹤冲天，主名声显达","鹤上天主小口灾","龙蛇禽兽等类","0.223","乘龙上天主大贵","文书用印有名声"
"missing","梦见鱼","鱼跃池中，财禄至","在官厨中得财禄","门户井灶橱厕","0.277","钟鼓大鸣福禄至","超盖仓库福禄至"
"missing","梦见鱼","得大鱼，主厚利","大鱼扬动主声名","龟鳖鱼虾昆虫","0.315","鼎鼐者主得大财","釜溢者主得大财"
"missing","梦见鱼","食鱼肉，大吉","张网捕鱼大吉利","龟鳖鱼虾昆虫","0.326","水中钓鱼大吉利","鲤鱼妻有孕大吉"
"missing","梦见鱼游","鱼游深水，主远行有利","群鱼游水主有财","龟鳖鱼虾昆虫","0.429","空野无人主远行","已射人必主远行"
"missing","梦见鱼游","鱼戏清波，主喜事临","居田宅主妻喜事","宫室屋宇仓库","0.247","抱妇人主有喜事","子死者主添喜事"
"exact","梦见鲤鱼","鲤鱼妻有孕大吉","鲤鱼妻有孕大吉","龟鳖鱼虾昆虫","1.000","携手上桥妻有孕","天公使有大吉祥"
"missing","梦见鲤鱼","得鲤者，主名利双收","食水者主很大利","饮食酒肉瓜果","0.247","打球者主得虚名","得米谷者主大吉"
"exact","梦见捞鱼","张网捕鱼大吉利","张网捕鱼大吉利","龟鳖鱼虾昆虫","1.000","水中钓鱼大吉利","小鱼生子大吉利"
"missing","梦见捞鱼","人捕鱼主食皆吉，宜勤勉求之","人捕鱼作食皆吉","龟鳖鱼虾昆虫","0.513","张网捕鱼大吉利","一切贵人皆吉利"
"exact","梦见鳖","见鳖者主有得财","见鳖者主有得财","龟鳖鱼虾昆虫","1.000","铅与锡者主得财","放鹤者主得财吉"
"missing","梦见鳖","得鳖在家，主寿福绵长","纺绩者主寿命长","金银珠玉绢帛","0.223","运石入家主富贵","正堂倒陷家主凶"
"exact","梦见龟","龟入井宅富贵至","龟入井宅富贵至","龟鳖鱼虾昆虫","1.000","上高堂大富贵至","高楼饮酒富贵至"
"missing","梦见龟","捉龟者，主有别离之忧","杀龟者主有丧事","杀害斗伤打骂","0.435","捉龟者主丧事至","食栗者主有分别"
"exact","梦见螃蟹","螃蟹主百病消散","螃蟹主百病消散","龟鳖鱼虾昆虫","1.000","车行主百事顺利","风吹人衣主疾病"
"missing","梦见螃蟹","得蟹者，主旧疾得愈","掏厕者主得横财","门户井灶橱厕","0.247","铅与锡者主得财","新帘者主得好妻"
"missing","梦见蜘蛛","蜈蚣咬人寿命吉","天欲晓益寿命吉","天地日月星辰","0.373","绳索系身长命吉","覆盖屋宇长命吉"
"missing","梦见蜘蛛","蜘蛛结网，主谋事可成，唯须耐心","身被罗网主官事","扑禁刑罚狱具","0.161","霜雪降主事不成","见浮云作事不成"
"missing","梦见死人","与死人言，主禄至","开棺与死人言凶","冢墓馆郭迎送","0.560","死人食者主疾病","死人出棺外客至"
"missing","梦见死人","死人复生，主有吉事","死人复活主有信","哀乐病死歌唱","0.560","抱妇人主有喜事","死人食者主疾病"
"approx","梦见死人复活","死人复活主有信，主旧事重启，远讯将至","死人复活主有信","哀乐病死歌唱","0.950","抱妇人主有喜事","女人拔刀主有子"
"missing","梦见已故亲人","见亡亲言语者，宜守本分，勿贪进取","道士女冠言语吉","佛道僧尼鬼神","0.121","见笋者主添子孙","食栗者主有分别"
"exact","梦见与亡父言","先祖考言求食吉","先祖考言求食吉","帝王文武呼召","1.000","水牛主先祖索食","犬吠人鬼来求食"
"missing","梦见与亡父言","与亡亲对话，主家事须慎，不可妄动","强贼入宅主家破","水火盗贼灯烛","0.121","厕中干者主家破","霜雪降主事不成"
"approx","梦见祖先","见先亡尊长大吉","见死亡尊长大吉","哀乐病死歌唱","0.747","身拜尊长大吉昌","头白主长命大吉"
"missing","梦见祖先","祭祖入梦，宜诚守本心","日光入屋官位至","天地日月星辰","0.047","日入怀贵子月女","星入怀主生贵子"
"exact","梦见棺中人言","开棺与死人言凶","开棺与死人言凶","冢墓馆郭迎送","1.000","与恶人言有口舌","棺敛死人主得财"
"missing","梦见棺中人言","棺中言语，宜慎口舌之祸","箱器生口舌之事","金银珠玉绢帛","0.281","与恶人言有口舌","城门大开主口舌"
"missing","梦见办丧","家中办丧，主事变迁","家中生松事转丰","地理山石树木","0.247","家中分财主离散","家中乘船主没财"
"approx","梦见办丧","棺殓死人，主得财","棺敛死人主得财","冢墓馆郭迎送","0.747","死人哭坏者得财","被人凌辱主得财"
"missing","梦见送葬","见送殡者，主灾散","丧车过者主灾散","船车游行物价","0.530","见笋者主添子孙","人送帚者主得位"
"missing","梦见送葬","送葬遇车，旧厄过去","车载不起厄事去","船车游行物价","0.158","牙木梳旧事尽去","丧车过者主灾散"
"approx","梦见自己哭","放声大哭欢乐至","放声大哭欢乐生","哀乐病死歌唱","0.873","见鼓住声欢乐吉","牵牛羊来家欢乐"
"approx","梦见自己哭","与人哭泣，主有庆贺","与人哭泣有庆贺","哀乐病死歌唱","0.844","死人哭泣有口舌","与人交易主有疾"
"exact","梦见他人哭","死人哭泣有口舌","死人哭泣有口舌","哀乐病死歌唱","1.000","与人哭泣有庆贺","与恶人言有口舌"
"missing","梦见他人哭","他人哭，宜静观，不必参与","他人与笛有名声","哀乐病死歌唱","0.203","迁入他人新宅吉","得他人麻布衣凶"
"exact","梦见歌舞","见歌舞者口舌至","见歌舞者口舌至","哀乐病死歌唱","1.000","宫城塞者口舌至","铜铛者生口舌至"
"missing","梦见歌舞","堂上歌乐，宜慎家务","堂上歌乐主丧事","哀乐病死歌唱","0.478","堂上有棺身安乐","堂上地陷主安忧"
"exact","梦见自己唱歌","吹笛打鼓有吉庆","吹笛打鼓有吉庆","哀乐病死歌唱","1.000","电光照身有吉庆","打鼓有声远有来"
"approx","梦见自己唱歌","病人歌唱主大凶，须分情境","病人歌唱主大凶","哀乐病死歌唱","0.922","病人上车主大凶","与人争屋主大凶"
"missing","梦见陌生人","与不识之人相对，主遇新识","与人相骂者主吉","杀害斗伤打骂","0.225","与人相砍大吉庆","女人相打主病至"
"missing","梦见陌生人","接陌路之言，近有贵人","见好枕有贵人扶","床帐毡祷匙筋","0.306","凤凰主有贵人助","天门开贵人荐引"
"approx","梦见白衣人","白衣召作便死亡","白衣召作使死亡","帝王文武呼召","0.747","自身白衣人所谋","着白衣主有人请"
"missing","梦见白衣人","白衣人来，宜静守，避口舌之争","自身白衣人所谋","身体面目齿发","0.271","箱器生口舌之事","着白衣主有人请"
"missing","梦见乞食者","施乞者，主积阴德","蛇多者主阴司事","龙蛇禽兽等类","0.277","见笋者主添子孙","面对官者主大吉"
"missing","梦见乞食者","乞食者来，主旧业有助","死人食者主疾病","饮食酒肉瓜果","0.223","席箪者主有力助","食栗者主有分别"
"exact","梦见外乡客","远人来悲泣主凶","远人来悲泣主凶","哀乐病死歌唱","1.000","钟磐有声远人来","洒扫宅舍远人来"
"missing","梦见外乡客","远客至门，主旧识来访","乘船饮酒远客至","船车游行物价","0.336","燕子至有远客来","天火烧门主凶事"
"exact","梦见军人","军人入宅主大吉","军人入宅主大吉","宫室屋宇仓库","1.000","枷锁入宅主大凶","入王侯府主大吉"
"missing","梦见军人","将卒随行，主喜事","居田宅主妻喜事","宫室屋宇仓库","0.277","车行主百事顺利","抱妇人主有喜事"
"exact","梦见公差","吏引入司主大吉","吏引入司主大吉","扑禁刑罚狱具","1.000","入王侯府主大吉","军人入宅主大吉"
"missing","梦见公差","为吏所录，主有急事，宜速决","为吏所录有急事","扑禁刑罚狱具","0.630","器皿落井有急事","裆盏被主有恶事"
"exact","梦见盗贼","强贼入宅主家破","强贼入宅主家破","水火盗贼灯烛","1.000","军人入宅主大吉","枷锁入宅主大凶"
"missing","梦见盗贼","与贼同行，反主大吉，宜辨虚实","与贼同行大吉利","水火盗贼灯烛","0.483","行车白马主大吉","水上行者主大吉"
"missing","梦见美人","见美人者，主情思动","见笋者主添子孙","地理山石树木","0.247","从人着紫主情弊","人与秤者主权位"
"missing","梦见美人","美人言笑，宜防迷误","蜻蜓对飞美人来","龟鳖鱼虾昆虫","0.224","与恶人言有口舌","开棺与死人言凶"
"missing","梦见老叟","得老叟相教，主长寿","头白主长命大吉","身体面目齿发","0.194","头须再生主长命","绳索主长命大吉"
"missing","梦见老叟","与老叟同行，宜从其言","与贼同行大吉利","水火盗贼灯烛","0.223","合伴同行凶事至","与恶人言有口舌"
"exact","梦见婴孩","新生男女主大吉","新生男女主大吉","夫妻产孕交欢","1.000","屋宅更新主大吉","屋中生马主大吉"
"missing","梦见婴孩","婴儿啼哭，宜防小疾","抢鱼拾鱼主小疾","龟鳖鱼虾昆虫","0.194","病人哭笑疾病除","天光灼身疾病除"
"missing","梦见小孩","抱儿者，主得喜事","子死者主添喜事","哀乐病死歌唱","0.433","掏厕者主得横财","铅与锡者主得财"
"missing","梦见小孩","婴儿啼哭，主病疾","地高下不平主病","地理山石树木","0.217","迁移尼寺主病至","女人相打主病至"
"exact","梦见小孩哭","抱小儿女主口舌","抱小儿女主口舌","夫妻产孕交欢","1.000","小儿死者主口舌","城门大开主口舌"
"missing","梦见小孩哭","孩童哭泣，主家事不顺","床上哭泣主大凶","哀乐病死歌唱","0.306","霜雪降主事不成","饮酒者主哭泣事"
"missing","梦见抱小儿","抱孩入怀，主得喜事","星入怀主生贵子","天地日月星辰","0.336","抱妇人主有喜事","居田宅主妻喜事"
"missing","梦见抱小儿","抱儿入门，主家室和睦","车入门主有凶事","船车游行物价","0.306","龙蛇入门主得财","强贼入宅主家破"
"exact","梦见教子读书","观人读书生贵子","观人读书生贵子","文书笔墨兵器","1.000","妇人见龙生贵子","天明妇有生贵子"
"missing","梦见教子读书","教子有方，主家业兴旺","火烧自是主兴旺","水火盗贼灯烛","0.223","强贼入宅主家破","厕中干者主家破"
"approx","梦见怀孕","妇人有身，主大吉","妇人赤身主大吉","夫妻产孕交欢","0.747","军人入宅主大吉","与妇人共坐大吉"
"missing","梦见怀孕","见孕妇入宅，主财至","军人入宅主大吉","宫室屋宇仓库","0.336","枷锁入宅主大凶","强贼入宅主家破"
"missing","梦见生子","妇人生男，主贵","妇人见龙生贵子","龙蛇禽兽等类","0.345","与妇人争屋主吉","同妇人行主失财"
"missing","梦见生子","妇人生女，主富","与妇人争屋主吉","宫室屋宇仓库","0.285","同妇人行主失财","抱妇人主有喜事"
"missing","梦见生子","产子而吉，家室兴","齿落更生子孙兴","身体面目齿发","0.150","小鱼生子大吉利","枯木再发子孙兴"
"approx","梦见生男","妻著锦衣生贵子","妻着锦衣生贵子","夫妻产孕交欢","0.777","妻着夫衣生贵子","带印主妻生贵子"
"missing","梦见生男","产男见星，主子嗣显达","面生疮黑主子凶","身体面目齿发","0.176","手指折者主子病","火烧山野大显达"
"missing","梦见生女","得粉仆妻生娇女","得粉扑妻生桥女","镜环钗钏梳蓖","0.493","带印主妻生贵子","燕飞入怀妻生子"
"missing","梦见生女","生女含笑，主家室和顺","行胭脂粉主生女","镜环钗钏梳蓖","0.206","强贼入宅主家破","厕中干者主家破"
"missing","梦见亲人团聚","合家欢聚，主家道兴隆","草木茂盛家道兴","地理山石树木","0.306","日月初出家道昌","上屋破坏家道凶"
"missing","梦见亲人团聚","亲人相聚于堂，主吉事重至","与人相骂者主吉","杀害斗伤打骂","0.298","女人相打主病至","与人相砍大吉庆"
"missing","梦见父母","梦见父母，主添寿","见笋者主添子孙","地理山石树木","0.277","日月落忧没父母","树生堂上父母忧"
"missing","梦见父母","父母俱安，主家和万事兴","日月落忧没父母","天地日月星辰","0.191","树生堂上父母忧","齿自落者父母凶"
"exact","梦见兄弟相打","兄弟相打大吉利","兄弟相打大吉利","杀害斗伤打骂","1.000","米麦相排大吉利","杀猪者大吉利"
"missing","梦见兄弟相打","过后修和，主同心协力","席箪者主有力助","床帐毡祷匙筋","0.093","乘船过日月主宫","丧车过者主灾散"
"exact","梦见兄弟分别","兄弟分别口舌临","兄弟分别口舌临","夫妻产孕交欢","1.000","与恶人言有口舌","城门大开主口舌"
"missing","梦见兄弟分别","分离久者，宜先和亲","兄弟分别口舌临","夫妻产孕交欢","0.112","家中分财主离散","修桥梁者万事和"
